customer_id,first_name,last_name,email,phone,age,city,signup_date,lifetime_value
CUST_0001,First0,Last0,user0@example.com,+1-392-568-2430,25.0,New York,2023-10-17,3587.21
CUST_0002,First1,Last1,user1@example.com,,,Houston,2022-04-06,1908.25
CUST_0003,First2,Last2,user2@example.com,+1-495-178-2791,25.0,LA,2023-11-23,2809.5
CUST_0004,First3,Last3,user3@example.com,+1-314-813-3424,54.0,New York,2022-02-02,4042.24
CUST_0005,First4,Last4,user4@example.com,+1-409-633-1371,47.0,,2023-09-10,578.45
CUST_0006,First5,Last5,,+1-898-654-3163,33.0,LA,2022-07-11,445.7
CUST_0007,First6,Last6,user6@example.com,+1-630-554-1351,55.0,,2023-01-31,4686.05
CUST_0008,First7,Last7,user7@example.com,+1-264-122-4806,75.0,LA,2022-08-27,580.53
CUST_0009,First8,Last8,user8@example.com,+1-732-760-6503,60.0,Houston,2023-06-21,4266.65
CUST_0010,First9,Last9,user9@example.com,+1-551-771-6346,56.0,,2022-02-28,2884.58
CUST_0011,First10,Last10,user10@example.com,+1-881-813-9686,37.0,LA,2022-01-12,
CUST_0012,First11,Last11,user11@example.com,+1-655-568-5982,68.0,LA,2023-02-25,2678.02
CUST_0013,First12,Last12,user12@example.com,+1-513-275-5259,54.0,Houston,2022-04-24,4899.25
CUST_0014,First13,Last13,user13@example.com,+1-580-395-1775,63.0,,2023-03-05,1825.12
CUST_0015,First14,Last14,user14@example.com,+1-491-566-3725,65.0,Chicago,2022-03-12,3982.83
CUST_0016,First15,Last15,user15@example.com,+1-364-828-9770,38.0,,2022-07-31,3008.09
CUST_0017,First16,Last16,user16@example.com,+1-379-959-3514,30.0,Houston,2022-07-30,1976.56
CUST_0018,First17,Last17,user17@example.com,+1-319-142-6187,41.0,LA,2023-12-28,2303.01
CUST_0019,First18,Last18,user18@example.com,+1-651-366-7056,27.0,Houston,2022-06-12,4714.45
CUST_0020,First19,Last19,user19@example.com,+1-775-824-1568,71.0,LA,2022-11-14,2499.16
CUST_0021,First20,Last20,user20@example.com,+1-552-251-7109,23.0,New York,2023-05-30,3007.33
CUST_0022,First21,Last21,user21@example.com,+1-366-646-5940,,Chicago,2023-04-15,3326.75
CUST_0023,First22,Last22,user22@example.com,+1-225-514-9182,48.0,New York,2022-01-08,3514.83
CUST_0024,First23,Last23,user23@example.com,+1-669-427-3556,22.0,New York,2023-04-02,1544.46
CUST_0025,First24,Last24,user24@example.com,,51.0,Chicago,2023-02-13,617.32
CUST_0026,First25,Last25,user25@example.com,+1-719-439-5842,53.0,New York,2022-09-10,3532.61
CUST_0027,First26,Last26,,+1-496-872-3409,43.0,,2023-08-06,4143.44
CUST_0028,First27,Last27,,+1-946-552-6549,55.0,New York,2023-04-17,3520.7
CUST_0029,First28,Last28,user28@example.com,+1-949-590-1656,45.0,LA,2022-02-10,4905.71
CUST_0030,First29,Last29,user29@example.com,+1-764-219-6047,62.0,Chicago,2022-10-22,4139.42
CUST_0031,First30,Last30,user30@example.com,,49.0,Houston,2023-04-13,3663.29
CUST_0032,First31,Last31,user31@example.com,+1-425-556-6855,44.0,LA,2023-12-30,3502.04
CUST_0033,First32,Last32,user32@example.com,,27.0,,2023-02-05,
CUST_0034,First33,Last33,user33@example.com,,49.0,,2022-06-29,895.1
CUST_0035,First34,Last34,user34@example.com,+1-797-639-4639,26.0,Chicago,2022-07-03,1959.04
CUST_0036,First35,Last35,user35@example.com,+1-985-384-4206,50.0,New York,2023-03-19,3296.25
CUST_0037,,Last36,user36@example.com,,25.0,New York,2023-11-06,4955.32
CUST_0038,First37,Last37,,+1-656-793-2431,47.0,LA,2023-08-06,1687.05
CUST_0039,First38,Last38,user38@example.com,+1-603-299-9035,65.0,LA,2023-12-17,4951.57
CUST_0040,First39,Last39,user39@example.com,+1-819-623-1918,53.0,Chicago,2022-09-03,1955.32
CUST_0041,First40,Last40,user40@example.com,+1-569-507-3423,78.0,LA,2022-06-11,1415.2
CUST_0042,,Last41,user41@example.com,+1-637-478-7326,72.0,LA,2023-10-06,975.46
CUST_0043,First42,Last42,user42@example.com,+1-491-453-6756,25.0,Chicago,2023-11-14,1968.86
CUST_0044,First43,Last43,user43@example.com,+1-656-995-2435,36.0,,2023-12-16,3761.33
CUST_0045,First44,Last44,user44@example.com,+1-654-859-7809,,LA,2022-08-11,4025.36
CUST_0046,First45,Last45,user45@example.com,+1-495-267-7944,41.0,Chicago,2023-02-26,3547.94
CUST_0047,First46,Last46,user46@example.com,+1-624-242-2410,41.0,,2023-07-21,818.47
CUST_0048,First47,Last47,user47@example.com,+1-510-586-9606,49.0,LA,2023-01-13,3479.78
CUST_0049,First48,Last48,user48@example.com,+1-267-704-7156,,LA,2022-04-18,724.11
CUST_0050,First49,Last49,user49@example.com,,68.0,LA,2022-11-30,3741.91
CUST_0051,First50,Last50,,+1-479-524-3865,21.0,New York,2022-06-18,45.66
CUST_0052,First51,Last51,user51@example.com,+1-927-681-3243,37.0,LA,2023-06-03,2878.41
CUST_0053,First52,Last52,user52@example.com,+1-590-396-9037,31.0,Chicago,2022-01-28,4942.42
CUST_0054,First53,Last53,,,65.0,New York,2023-12-13,4751.99
CUST_0055,First54,Last54,user54@example.com,+1-799-411-9095,25.0,New York,2023-04-18,4208.3
CUST_0056,First55,Last55,user55@example.com,+1-674-329-1439,22.0,,2023-02-13,480.24
CUST_0057,First56,Last56,user56@example.com,+1-357-368-5917,44.0,LA,2023-02-11,898.16
CUST_0058,First57,Last57,user57@example.com,+1-851-583-3034,37.0,Houston,,
CUST_0059,,Last58,,+1-494-527-3938,75.0,,2023-12-28,3250.49
CUST_0060,First59,Last59,user59@example.com,+1-904-760-5009,42.0,New York,2022-12-01,4848.63
CUST_0061,,Last60,user60@example.com,,64.0,Chicago,2023-04-21,2019.97
CUST_0062,First61,Last61,user61@example.com,+1-704-168-6927,26.0,LA,2022-03-11,
CUST_0063,First62,Last62,user62@example.com,+1-779-546-5225,50.0,Chicago,2023-11-04,2443.13
CUST_0064,First63,Last63,user63@example.com,+1-687-810-2959,66.0,Houston,2023-03-25,4772.78
CUST_0065,First64,Last64,user64@example.com,+1-950-689-1287,46.0,LA,2022-10-13,1876.86
CUST_0066,First65,Last65,,+1-366-695-1958,64.0,Chicago,2022-06-24,3976.63
CUST_0067,First66,Last66,user66@example.com,+1-672-999-3219,69.0,Chicago,2023-09-14,3888.65
CUST_0068,First67,Last67,user67@example.com,+1-254-379-6917,57.0,,2022-10-29,3251.55
CUST_0069,First68,Last68,user68@example.com,+1-564-149-5749,32.0,LA,2023-02-05,3265.98
CUST_0070,First69,Last69,user69@example.com,+1-854-178-9419,39.0,,2023-11-19,600.0
CUST_0071,First70,Last70,,+1-843-287-2548,79.0,,2023-11-25,2446.09
CUST_0072,First71,Last71,user71@example.com,+1-371-656-6285,46.0,Houston,2023-03-28,2548.74
CUST_0073,First72,Last72,user72@example.com,+1-901-919-5932,59.0,,2022-08-10,
CUST_0074,First73,Last73,user73@example.com,+1-914-804-6939,28.0,New York,2023-11-23,2863.15
CUST_0075,First74,Last74,user74@example.com,,54.0,New York,2023-03-29,3726.8
CUST_0076,First75,Last75,user75@example.com,+1-347-113-3243,67.0,LA,2023-10-13,905.48
CUST_0077,First76,Last76,user76@example.com,+1-581-897-8944,53.0,LA,2023-10-19,3222.98
CUST_0078,First77,Last77,user77@example.com,+1-366-204-4569,59.0,LA,2023-11-07,2857.12
CUST_0079,First78,Last78,user78@example.com,+1-426-951-4087,30.0,LA,2023-02-04,317.49
CUST_0080,First79,Last79,user79@example.com,+1-772-728-9612,52.0,,2023-03-31,3976.12
CUST_0081,,Last80,user80@example.com,+1-929-664-2867,21.0,Houston,2022-01-05,4064.34
CUST_0082,First81,Last81,user81@example.com,+1-278-219-3150,51.0,,2023-01-22,
CUST_0083,First82,Last82,,+1-691-456-6104,48.0,Chicago,2022-09-13,2682.08
CUST_0084,First83,Last83,user83@example.com,+1-342-936-8240,19.0,Chicago,2022-09-02,2442.82
CUST_0085,First84,Last84,,+1-811-635-6604,77.0,,2022-01-17,2923.61
CUST_0086,First85,Last85,user85@example.com,+1-511-129-2943,79.0,Houston,2022-01-15,3950.34
CUST_0087,First86,Last86,user86@example.com,+1-910-245-4712,,,2022-07-16,3764.94
CUST_0088,First87,Last87,user87@example.com,+1-414-233-2287,33.0,LA,2022-03-06,4488.01
CUST_0089,First88,Last88,user88@example.com,+1-981-902-2830,71.0,New York,2022-04-09,2995.51
CUST_0090,First89,Last89,user89@example.com,,46.0,,2023-11-12,2773.61
CUST_0091,First90,Last90,user90@example.com,+1-975-541-1696,52.0,,2022-06-21,615.23
CUST_0092,First91,Last91,user91@example.com,+1-233-912-9412,43.0,LA,2023-06-09,1031.15
CUST_0093,First92,Last92,user92@example.com,+1-680-221-5145,49.0,,2022-12-01,2812.48
CUST_0094,First93,Last93,user93@example.com,,19.0,Chicago,2023-10-04,175.03
CUST_0095,First94,Last94,user94@example.com,+1-210-872-2581,29.0,LA,2022-08-01,2530.74
CUST_0096,First95,Last95,user95@example.com,+1-816-310-4277,73.0,Chicago,2023-02-09,2722.14
CUST_0097,,Last96,user96@example.com,+1-559-129-2487,42.0,LA,2022-05-04,4726.14
CUST_0098,First97,Last97,user97@example.com,+1-964-384-6698,25.0,New York,2022-04-19,
CUST_0099,First98,Last98,user98@example.com,+1-712-899-4962,52.0,,2022-06-27,4731.07
CUST_0100,First99,Last99,,+1-269-201-1229,27.0,Chicago,,3914.01
CUST_0101,First100,Last100,user100@example.com,+1-932-296-5617,67.0,LA,2022-01-13,2224.6
CUST_0102,First101,Last101,user101@example.com,+1-972-650-1070,37.0,,2023-04-15,3475.51
CUST_0103,First102,Last102,user102@example.com,+1-301-319-9260,61.0,,2023-11-05,4930.1
CUST_0104,First103,Last103,user103@example.com,+1-686-475-4033,57.0,Houston,2023-10-28,2691.05
CUST_0105,First104,Last104,user104@example.com,+1-309-285-6813,29.0,LA,2022-02-14,495.05
CUST_0106,First105,Last105,user105@example.com,+1-634-319-9425,,,2022-08-12,1185.5
CUST_0107,First106,Last106,user106@example.com,+1-315-879-6149,,New York,2023-09-06,1498.55
CUST_0108,First107,Last107,user107@example.com,+1-312-632-3226,38.0,Houston,2022-04-15,4787.11
CUST_0109,First108,Last108,user108@example.com,+1-569-821-5723,75.0,,2023-08-06,1080.2
CUST_0110,First109,Last109,user109@example.com,+1-241-184-6375,42.0,,2022-04-08,642.46
CUST_0111,First110,Last110,user110@example.com,+1-594-390-8486,75.0,New York,2023-10-09,371.8
CUST_0112,,Last111,user111@example.com,+1-519-803-8273,30.0,LA,2023-11-26,1908.91
CUST_0113,First112,Last112,user112@example.com,+1-617-397-8011,56.0,,2023-12-12,2000.3
CUST_0114,First113,Last113,user113@example.com,+1-271-961-8793,49.0,Houston,2022-06-29,1270.9
CUST_0115,First114,Last114,user114@example.com,+1-576-283-1209,50.0,,2023-12-06,3472.58
CUST_0116,First115,Last115,user115@example.com,+1-703-788-2723,25.0,,2023-11-14,352.79
CUST_0117,First116,Last116,user116@example.com,+1-735-774-2392,38.0,Chicago,2022-12-10,4976.8
CUST_0118,First117,Last117,user117@example.com,,44.0,Houston,,963.14
CUST_0119,First118,Last118,user118@example.com,+1-911-704-2666,,,2023-04-05,3286.59
CUST_0120,First119,Last119,user119@example.com,+1-372-166-6959,,Houston,2023-10-18,3024.72
CUST_0121,,Last120,user120@example.com,+1-546-305-7623,76.0,LA,2023-05-31,767.46
CUST_0122,First121,Last121,user121@example.com,+1-634-842-9177,35.0,Chicago,2022-01-14,2168.14
CUST_0123,First122,Last122,user122@example.com,+1-930-884-5472,55.0,,2023-09-24,
CUST_0124,First123,Last123,user123@example.com,+1-859-509-6834,33.0,Chicago,2022-05-08,387.62
CUST_0125,First124,Last124,user124@example.com,+1-817-514-8938,59.0,,2023-03-15,549.95
CUST_0126,First125,Last125,user125@example.com,+1-350-886-8448,37.0,,2023-09-27,329.8
CUST_0127,First126,Last126,user126@example.com,,46.0,Houston,2022-05-21,1814.1
CUST_0128,First127,Last127,user127@example.com,+1-709-336-3205,58.0,,2022-10-31,1366.27
CUST_0129,First128,Last128,user128@example.com,,68.0,Houston,2023-01-20,1128.83
CUST_0130,First129,Last129,user129@example.com,+1-269-610-1438,41.0,Houston,2022-02-08,
CUST_0131,First130,Last130,user130@example.com,+1-591-719-6356,28.0,Chicago,2023-09-05,4843.87
CUST_0132,First131,Last131,user131@example.com,+1-836-738-2578,52.0,,2023-03-31,525.01
CUST_0133,First132,Last132,,+1-876-869-9518,79.0,Houston,2022-12-03,878.66
CUST_0134,First133,Last133,user133@example.com,+1-677-306-5809,46.0,,2022-11-22,1532.75
CUST_0135,First134,Last134,user134@example.com,+1-702-616-5287,,,2022-02-10,2448.09
CUST_0136,First135,Last135,user135@example.com,+1-753-659-1289,79.0,,2023-03-01,3502.28
CUST_0137,First136,Last136,user136@example.com,+1-232-540-2951,36.0,New York,2022-10-23,2757.71
CUST_0138,First137,Last137,user137@example.com,+1-522-973-7165,28.0,LA,2022-08-23,4482.85
CUST_0139,First138,Last138,user138@example.com,+1-236-133-3897,,LA,2022-12-06,4732.55
CUST_0140,First139,Last139,user139@example.com,+1-998-410-3689,48.0,LA,2022-07-30,1725.86
CUST_0141,First140,Last140,,+1-337-419-7374,34.0,Houston,2023-11-12,4840.0
CUST_0142,First141,Last141,user141@example.com,+1-312-682-9037,42.0,LA,2023-12-05,2973.08
CUST_0143,First142,Last142,user142@example.com,+1-901-652-8697,71.0,Houston,2022-08-16,2384.31
CUST_0144,First143,Last143,user143@example.com,+1-360-618-1913,55.0,LA,2023-01-26,47.49
CUST_0145,First144,Last144,user144@example.com,+1-706-705-7189,36.0,Chicago,2022-07-07,777.46
CUST_0146,First145,Last145,user145@example.com,+1-561-884-5660,,Houston,2022-01-07,1894.0
CUST_0147,First146,Last146,user146@example.com,+1-228-704-1739,54.0,Houston,2023-05-19,264.32
CUST_0148,First147,Last147,user147@example.com,+1-575-457-1440,,,2022-07-17,4872.5
CUST_0149,First148,Last148,,+1-840-449-7235,62.0,LA,2022-05-25,1245.56
CUST_0150,First149,Last149,user149@example.com,,26.0,Chicago,2022-05-09,3533.93
CUST_0151,First150,Last150,user150@example.com,+1-565-521-6755,35.0,Chicago,2023-08-30,4931.23
CUST_0152,First151,Last151,,,31.0,,2022-07-29,2511.15
CUST_0153,First152,Last152,user152@example.com,+1-440-763-6113,79.0,New York,2022-03-22,2138.83
CUST_0154,First153,Last153,,+1-904-167-5995,74.0,LA,2023-04-24,4406.94
CUST_0155,First154,Last154,user154@example.com,,39.0,New York,2022-07-22,1525.94
CUST_0156,First155,Last155,user155@example.com,+1-751-433-1612,80.0,Chicago,2022-06-30,4737.27
CUST_0157,First156,Last156,user156@example.com,+1-632-681-9433,46.0,Houston,2022-11-07,1563.68
CUST_0158,First157,Last157,user157@example.com,+1-473-120-8695,60.0,,2023-04-05,397.37
CUST_0159,First158,Last158,user158@example.com,+1-524-486-7394,39.0,Chicago,2022-07-26,4724.33
CUST_0160,First159,Last159,user159@example.com,+1-300-927-9001,79.0,LA,2023-05-08,287.06
CUST_0161,First160,Last160,user160@example.com,,19.0,,2023-01-04,2770.8
CUST_0162,First161,Last161,user161@example.com,+1-544-608-9237,26.0,New York,2022-06-21,4371.76
CUST_0163,First162,Last162,user162@example.com,+1-883-447-3730,18.0,Houston,2023-03-09,2119.92
CUST_0164,First163,Last163,user163@example.com,+1-572-546-4305,18.0,,2023-03-20,3653.99
CUST_0165,First164,Last164,user164@example.com,+1-277-960-9779,61.0,,2023-05-09,2575.06
CUST_0166,First165,Last165,user165@example.com,+1-471-148-5871,53.0,Chicago,,4440.4
CUST_0167,First166,Last166,user166@example.com,+1-611-923-4700,63.0,Houston,2022-03-27,2027.36
CUST_0168,First167,Last167,,+1-294-834-2552,43.0,Houston,2022-11-04,4554.43
CUST_0169,First168,Last168,user168@example.com,+1-479-168-9700,68.0,Houston,2022-06-06,3570.8
CUST_0170,First169,Last169,,+1-414-455-2256,59.0,Houston,2022-06-29,3748.34
CUST_0171,First170,Last170,user170@example.com,+1-509-616-5913,19.0,Houston,2023-04-20,3694.92
CUST_0172,First171,Last171,user171@example.com,+1-752-420-4278,70.0,Chicago,2022-10-18,4116.82
CUST_0173,First172,Last172,user172@example.com,+1-457-739-9443,61.0,Houston,2023-09-13,2640.56
CUST_0174,First173,Last173,user173@example.com,+1-981-660-3958,80.0,Chicago,2022-12-08,3036.87
CUST_0175,First174,Last174,user174@example.com,+1-842-820-9457,70.0,Chicago,2023-04-26,3372.61
CUST_0176,First175,Last175,user175@example.com,+1-790-611-4489,42.0,Houston,2022-07-14,2617.58
CUST_0177,First176,Last176,user176@example.com,+1-960-578-5389,67.0,New York,,375.61
CUST_0178,First177,Last177,user177@example.com,+1-745-928-8106,80.0,LA,2023-01-19,2568.42
CUST_0179,First178,Last178,user178@example.com,+1-944-741-1981,,Houston,2023-03-02,2113.61
CUST_0180,First179,Last179,user179@example.com,+1-573-573-3420,77.0,LA,2023-01-18,1866.42
CUST_0181,First180,Last180,,+1-964-801-5919,18.0,Chicago,2022-11-12,4570.23
CUST_0182,First181,Last181,user181@example.com,+1-620-426-2055,19.0,,2023-08-26,2695.6
CUST_0183,First182,Last182,user182@example.com,+1-622-373-5702,61.0,New York,2022-02-09,589.33
CUST_0184,First183,Last183,user183@example.com,+1-462-803-4868,40.0,Chicago,2022-05-08,1467.73
CUST_0185,First184,Last184,user184@example.com,+1-316-253-4144,70.0,New York,2023-08-03,3690.13
CUST_0186,First185,Last185,user185@example.com,,37.0,Chicago,2023-03-23,1087.32
CUST_0187,First186,Last186,user186@example.com,+1-517-575-8952,32.0,,2022-12-23,4665.56
CUST_0188,First187,Last187,user187@example.com,+1-646-532-1606,49.0,,2023-05-16,4128.64
CUST_0189,First188,Last188,user188@example.com,+1-479-239-1477,20.0,,2023-01-13,
CUST_0190,First189,Last189,user189@example.com,+1-484-774-3883,75.0,,2023-10-29,3088.74
CUST_0191,First190,Last190,user190@example.com,+1-243-839-8960,56.0,New York,2023-03-11,1778.72
CUST_0192,First191,Last191,user191@example.com,+1-256-980-2375,30.0,Chicago,2022-09-06,1642.76
CUST_0193,First192,Last192,user192@example.com,+1-505-987-2041,58.0,LA,2023-01-06,25.77
CUST_0194,First193,Last193,user193@example.com,+1-616-472-2479,73.0,New York,2023-11-24,930.79
CUST_0195,First194,Last194,user194@example.com,+1-941-962-3302,50.0,New York,,506.69
CUST_0196,First195,Last195,user195@example.com,+1-784-852-9196,53.0,New York,2022-06-01,423.72
CUST_0197,First196,Last196,user196@example.com,+1-734-780-9605,65.0,Chicago,2023-04-12,768.55
CUST_0198,First197,Last197,user197@example.com,+1-292-343-3003,61.0,New York,2022-05-31,2437.06
CUST_0199,First198,Last198,user198@example.com,+1-520-437-7388,29.0,,2023-09-09,3283.17
CUST_0200,First199,Last199,user199@example.com,+1-961-341-7928,,LA,2023-11-10,1976.79
CUST_0201,First200,Last200,user200@example.com,+1-309-279-4507,22.0,Chicago,2022-01-13,2141.71
CUST_0202,First201,Last201,user201@example.com,+1-650-518-5166,77.0,LA,2022-04-05,4057.72
CUST_0203,First202,Last202,,+1-257-602-9740,32.0,,2023-01-29,2192.86
CUST_0204,First203,Last203,user203@example.com,+1-315-424-9941,64.0,Chicago,2023-08-24,809.17
CUST_0205,First204,Last204,user204@example.com,+1-899-352-5550,30.0,Chicago,2022-03-24,2169.8
CUST_0206,First205,Last205,user205@example.com,+1-348-471-8786,19.0,Chicago,2022-07-13,4352.57
CUST_0207,First206,Last206,user206@example.com,+1-515-121-1570,62.0,,2022-06-19,947.84
CUST_0208,First207,Last207,user207@example.com,+1-878-918-1895,57.0,,2022-09-16,
CUST_0209,First208,Last208,user208@example.com,+1-887-345-5144,53.0,Chicago,2023-05-28,3719.62
CUST_0210,First209,Last209,user209@example.com,+1-516-754-6945,18.0,LA,2023-11-06,801.56
CUST_0211,First210,Last210,user210@example.com,+1-901-224-9763,59.0,,2023-08-24,2396.47
CUST_0212,First211,Last211,user211@example.com,+1-653-497-1128,59.0,,2023-02-26,1329.0
CUST_0213,First212,Last212,user212@example.com,+1-602-361-5929,,LA,2022-04-02,2750.62
CUST_0214,First213,Last213,,,45.0,,2023-08-10,3571.6
CUST_0215,First214,Last214,user214@example.com,+1-441-404-4446,44.0,,2022-12-19,3821.96
CUST_0216,,Last215,user215@example.com,+1-364-549-6196,61.0,,2022-10-03,2509.29
CUST_0217,First216,Last216,user216@example.com,+1-985-759-7656,49.0,Chicago,2023-02-12,4215.31
CUST_0218,First217,Last217,user217@example.com,+1-480-987-2312,66.0,New York,2022-01-07,548.66
CUST_0219,First218,Last218,user218@example.com,+1-703-582-7765,,Chicago,2023-05-19,105.76
CUST_0220,First219,Last219,user219@example.com,+1-540-834-7920,21.0,Chicago,,2500.0
CUST_0221,First220,Last220,user220@example.com,+1-302-944-3627,44.0,Chicago,2023-12-15,1182.52
CUST_0222,First221,Last221,user221@example.com,+1-718-167-6764,38.0,Houston,2023-03-03,1710.7
CUST_0223,First222,Last222,user222@example.com,+1-946-932-9973,,Houston,2023-03-18,3687.16
CUST_0224,First223,Last223,user223@example.com,+1-664-811-1448,23.0,,2023-01-19,1447.33
CUST_0225,First224,Last224,user224@example.com,+1-856-756-4010,69.0,,2022-05-18,3804.5
CUST_0226,First225,Last225,user225@example.com,+1-856-239-1050,,New York,2022-07-06,762.48
CUST_0227,First226,Last226,user226@example.com,+1-843-412-6140,80.0,Houston,2022-04-23,1247.33
CUST_0228,First227,Last227,user227@example.com,+1-313-261-5089,79.0,,2022-08-06,4320.83
CUST_0229,First228,Last228,user228@example.com,+1-986-950-3131,33.0,,2022-03-02,1236.77
CUST_0230,First229,Last229,user229@example.com,+1-902-520-6233,39.0,LA,2022-07-16,992.06
CUST_0231,First230,Last230,user230@example.com,+1-952-236-5270,58.0,Houston,2023-02-23,4049.76
CUST_0232,First231,Last231,,+1-807-946-6367,19.0,LA,2023-10-02,2511.67
CUST_0233,First232,Last232,user232@example.com,+1-403-186-7791,69.0,LA,2023-10-14,4962.76
CUST_0234,First233,Last233,user233@example.com,+1-602-997-7182,,,2022-10-28,3172.39
CUST_0235,First234,Last234,user234@example.com,+1-784-329-1339,77.0,,2022-05-08,661.48
CUST_0236,First235,Last235,user235@example.com,+1-771-762-4747,34.0,LA,2022-12-17,
